OBJECTID,leg_id,start_time,start_node_lat,start_node_lng,end_node_lat,end_node_lng,CentroidID_O,CentroidID_D
19361,95850004,2000-01-01 18:25:00 +0800,37.531659999999995,-121.92975,37.53474,-121.91694,7,8
19362,95850006,2000-01-02 00:48:00 +0800,37.53474,-121.91694,37.531659999999995,-121.92975,8,7
19363,95850009,2000-01-01 18:21:00 +0800,37.531659999999995,-121.92975,37.50078,-121.93948,7,1
19364,95850022,2000-01-01 18:29:00 +0800,37.531659999999995,-121.92975,37.530159999999995,-121.93443,7,7
19365,95850023,2000-01-01 18:40:00 +0800,37.530159999999995,-121.93443,37.531659999999995,-121.92975,7,7
19366,95850024,2000-01-01 18:50:00 +0800,37.531659999999995,-121.92975,37.50692,-121.93418,7,18
19367,95850025,2000-01-02 02:11:00 +0800,37.50692,-121.93418,37.52738,-121.92106000000001,18,"12
"
19368,95850250,2000-01-02 01:47:00 +0800,37.53309,-121.92256,37.53329,-121.92098999999999,8,8
19369,95850252,2000-01-02 02:42:00 +0800,37.53329,-121.92098999999999,37.519459999999995,-121.92458,8,13
19370,95850254,2000-01-01 22:49:00 +0800,37.519459999999995,-121.92458,37.54746,-121.94103,13,28
19371,95850256,2000-01-02 03:28:00 +0800,37.54746,-121.94103,37.519459999999995,-121.92458,28,13
19372,95850329,2000-01-02 03:25:00 +0800,37.53439,-121.92525,37.54526,-121.9417,8,28
19373,95850330,2000-01-02 03:58:00 +0800,37.54526,-121.9417,37.53439,-121.92525,28,8
19374,95850335,2000-01-01 14:11:00 +0800,37.53439,-121.92525,37.52772,-121.9248,8,"12
"
19375,95850336,2000-01-01 14:26:00 +0800,37.52772,-121.9248,37.53439,-121.92525,"12
",8
19376,95850339,2000-01-01 22:47:00 +0800,37.53439,-121.92525,37.50736,-121.92836000000001,8,18
19377,95850340,2000-01-01 23:21:00 +0800,37.50736,-121.92836000000001,37.53439,-121.92525,18,8
19378,95850343,2000-01-02 01:09:00 +0800,37.53439,-121.92525,37.54545,-121.94408,8,6
19379,95850451,2000-01-02 05:15:00 +0800,37.53419,-121.92776,37.53058,-121.92206000000002,8,8
19380,95850452,2000-01-02 05:33:00 +0800,37.53058,-121.92206000000002,37.53419,-121.92776,8,8
